Wort Deutsch;Wort Pinyin ;Wortart;Satz Pinyin;Satz Deutsch;Wort Hanyu;Satz Hanyu;ID;Lektion
Ich habe Hunger.;Wǒ hěn è.;;Wǒ hěn è.;Ich habe Hunger.;我很饿。;我很饿。;LD01-1-11;LD0
Ich bin durstig.;Wǒ hěn kě.;;Wǒ hěn kě.;Ich bin durstig.;我很渴。;我很渴。;LD01-1-12;LD0
Ich bin nicht durstig.;Wǒ bù kě.;;Wǒ bù kě.;Ich bin nicht durstig.;我不渴。;我不渴。;LD01-1-13;LD0
Bist du durstig?;Nǐ kě ma?;;Nǐ kě ma?;Bist du durstig?;你渴吗？;你渴吗？;LD01-1-14;LD0
Ich bin beschäftigt.;Wǒ hěn mǎng.;;Wǒ hěn mǎng.;Ich bin beschäftigt.;我很忙。;我很忙。;LD01-1-15;LD0
Ich bin nicht beschäftigt.;Wǒ bù mǎng.;;Wǒ bù mǎng.;Ich bin nicht beschäftigt.;我不忙。;我不忙。;LD01-1-16;LD0
Bist du beschäftigt?;Nǐ mǎng ma?;;Nǐ mǎng ma?;Bist du beschäftigt?;你忙吗？;你忙吗？;LD01-1-17;LD0
* Lektion 2;*Lektion 2;* Lektion 2;*Lektion 2;*Lektion 2;*Lektion 2;*Lektion 2;L02-1-00;L02
er, sie, es;tā;Pronomen;Tā shì wǒ de péngyou.;Er ist mein Freund.;他;他是我的朋友。;L02-1-01;L02
heißen, rufen, nennen;jiào;Verb;Wǒ jiào Lǐ Míng.;Mein Name ist Ming Li.;叫;我叫李明。;L02-1-02;L02
"Herr; Ehemann";xiānshēng;Subst.;Zhè shì Dèng xiānshēng de míngpiàn.;Dies ist die Visitenkarte von Herrn Deng.;先生;这是邓先生的名片。;L02-1-03;L02
Ingenieur(in);gōngchéngshī;Subst.;Tā shì gōngchéngshī.;Er ist Ingenieur.;工程师;他是工程师。;L02-1-04;L02
kennen lernen, kennen;rènshi;Verb;Wǒ rènshi tā.;Ich kenne ihn/sie.;认识;我认识他。;L02-1-05;L02
mal kurz;yīxià;Partikel;Wǒ lái jièshào yīxià, zhè shì Wáng Lǐ.;Lassen Sie mich Ihnen Wang Li vorstellen.;一下;我来介绍一下，这是王李。;L02-1-06;L02
Pluralendung;men;Suffix;Wǒmen shì xuésheng.;Wir sind Studenten.;们;我们是学生。;L02-1-07;L02
Schüler(in);xuésheng;Subst.;Tā shì xuésheng.;Er ist Student.;学生;他是学生。;L02-1-08;L02
sein;shì;Verb;Tā shì zhōngguórén.;Er ist Chinese.;是;他是中国人。;L02-1-09;L02
Sekretär(in);mìshū;Subst.;Tā shì wǒmen de mìshū.;Sie ist unsere Sekretärin.;秘书;她是我们的秘书。;L02-1-10;L02
sich freuen, freudig, froh;gāoxìng;Adjektiv;Hěn gāoxìng rènshi nǐ.;Schön, dich kennenzulernen.;高兴;很高兴认识你。;L02-1-11;L02
teuer, wertvoll;guì;Adjektiv;Zhèlǐ hěn guì. / Zhè shū hěn guì.;Es ist teuer hier. / Das Buch ist sehr teuer;贵;这里很贵。;L02-1-12;L02
was, was für (ein);shénme;Fragewort;nǐ jiào shénme? / Nǐ shénme shíhòu lái de?;Wie heißt du? / Wann bist du gekommen?;什么;你什么时候来的？;L02-1-13;L02
Visitenkarte;míngpiàn;Subst.;Nǐ yǒu míngpiàn ma?;Haben Sie eine Visitenkarte?;名片;你有名片吗？;L02-1-14;L02
vorstellen, empfehlen, sich/jn. Vorstellen;jièshào;Verb;Wǒ lái jièshào yīxià, zhè shì Wáng Lǐ.;Ich möchte Ihnen Wang Li vorstellen.;介绍;我来介绍一下，这是王李。;L02-1-15;L02
Attributpartikel;de;Partikel;Zhè shì wǒ de míngpiàn.;Dies ist meine Visitenkarte.;的;这是我的名片。;L02-2-01;L02
auch;yě;Adverb;Wǒ yě bù zhīdào.;Ich weiß es auch nicht.;也;我也不知道。;L02-2-02;L02
Danke;xièxiè;Phrase;Xièxiè nǐ de bāngzhù.;Danke für deine Hilfe.;谢谢;谢谢你的帮助。;L02-2-03;L02
das hier, dieser, dieses, das;zhè;Pronomen;Zhè shì shéi de diànhuà?;Wessen Telefon ist das?;这;这是谁的电话？;L02-2-04;L02
"Entschuldigung; Darf ich fragen...";qǐngwèn;Phrase;Qǐngwèn, nǐ jiào shénme míngzi?;Entschuldigung, wie ist Ihr Name?;请问;请问，你叫什么名字？;L02-2-05;L02
Deng Xiaoming;Dèng xiǎomíng;Name;Dèng xiǎomíng shì wǒ de lǎoshī.;Herr Deng ist mein Lehrer.;邓小明;邓小明是我的老师。;L02-2-06;L02
Freund;péngyou;Subst.;Wǒ de péngyou jiào Wáng Lǐ.;Mein Freund heißt Wang Li.;朋友;我的朋友叫王李。;L02-2-07;L02
heißen;xìng;Verb;Nǐ xìng shénme?;Wie ist Ihr Nachname?;姓;你姓什么？;L02-2-08;L02
ihr, euch;nǐmen;Pronomen;Nǐmen shì nǎ guó rén?;Woher kommt ihr?;你们;你们是哪国人？;L02-2-09;L02
Lehrer(in);lǎoshī;Subst.;Lǎoshī, wǒ yǒu yī gè wèntí.;Lehrer, ich habe eine Frage.;老师;老师，我有一个问题。;L02-2-10;L02
Name;míngzì;Subst.;Nǐ de míngzì shì shénme?;Wie ist dein Name?;名字;你的名字是什么？;L02-2-11;L02
sie, er, es;tā;Pronomen;Tā shì wǒ de péngyou.;Sie ist meine Freundin.;她;她是我的朋友。;L02-2-12;L02
Wang Gang;Wánggāng;Name;Wǒmen de mìshū jiào Wánggāng.;Unser Sekretär heißt Wang Gang.;王刚;我们的秘书叫王刚。;L02-2-13;L02
wir;wǒmen;Pronomen;Wǒmen shì péngyou.;Wir sind Freunde.;我们;我们是朋友。;L02-2-14;L02
* Lektion 2 Dialoge;*Lektion 2 Dialoge;* Lektion 2 Dialoge;*Lektion 2 Dialoge;*Lektion 2 Dialoge;*Lektion 2 Dialoge;*Lektion 2 Dialoge;LD02-1-00;LD0
Entschuldigung, wie ist Ihr Name?;Qǐng wèn, nín jiào shénme míngzì?;;Qǐng wèn, nín jiào shénme míngzì?;Entschuldigung, wie ist Ihr Name?;请问，您叫什么名字？;请问，您叫什么名字？;LD02-1-14;LD0
Mein Familienname ist Li. Ich heiße Li Li.;Wǒ xìng Lǐ, jiào Lǐ Lì.;;Wǒ xìng Lǐ, jiào Lǐ Lì.;Mein Familienname ist Li. Ich heiße Li Li.;我姓李，叫李丽。;我姓李，叫李丽。;LD02-2-14;LD0
Wie ist Ihr werter Name?;Nín guì xìng?;;Nín guì xìng?;Wie ist Ihr werter Name?;您贵姓？;您贵姓？;LD02-1-03;LD0
Mein Familienname ist Müller, ich heiße Johann Müller.;Wǒ xìng Mǐlē, jiào Yuēhàn Mǐlē;;Wǒ xìng Mǐlē, jiào Yuēhàn Mǐlē;Mein Familienname ist Müller, ich heiße Johann Müller.;我姓米勒，叫约翰米勒。;我姓米勒，叫约翰米勒。;LD02-1-04;LD0
Entschuldigung, sind Sie Lehrer?;Duìbuqǐ, nǐ shì lǎoshī ma?;;Duìbuqǐ, nǐ shì lǎoshī ma?;Entschuldigung, sind Sie Lehrer?;对不起，你是老师吗？;对不起，你是老师吗？;LD02-1-05;LD0
Nein, ich bin kein Lehrer, ich bin Ingenieur, sie ist Lehrerin.;Bù, wǒ bù shì lǎoshī, wǒ shì gōngchéngshī, tā shì lǎoshī.;;Bù, wǒ bù shì lǎoshī, wǒ shì gōngchéngshī, tā shì lǎoshī.;Nein, ich bin kein Lehrer, ich bin Ingenieur, sie ist Lehrerin.;不，我不是老师，我是工程师，她是老师。;不，我不是老师，我是工程师，她是老师。;LD02-1-06;LD0
Ja, ich bin Lehrerin, und ihr?;Shì de, wǒ shì lǎoshī, nǐ ne?;;Shì de, wǒ shì lǎoshī, nǐ ne?;Ja, ich bin Lehrerin, und ihr?;是的，我是老师，你呢？;是的，我是老师，你呢？;LD02-1-07;LD0
Ich bin Sekretärin.;Wǒ shì mìshū.;;Wǒ shì mìshū.;Ich bin Sekretärin.;我是秘书。;我是秘书。;LD02-1-08;LD0
Ich bin Student.;Wǒ shì xuéshēng.;;Wǒ shì xuéshēng.;Ich bin Student.;我是学生。;我是学生。;LD02-1-09;LD0
Johann! Lass mich ihn vorstellen. Er ist mein Freund.;Yuēhàn! Wǒ jièshào yīxià, tā shì wǒ de péngyǒu.;;Yuēhàn! Wǒ jièshào yīxià, tā shì wǒ de péngyǒu.;Johann! Lass mich ihn vorstellen. Er ist mein Freund.;约翰！我介绍一下，他是我的朋友。;约翰！我介绍一下，他是我的朋友。;LD02-1-10;LD0
Wang Gāng, sie ist meine Lehrerin.;Wáng Gāng, tā shì wǒ de lǎoshī.;;Wáng Gāng, tā shì wǒ de lǎoshī.;Wang Gāng, sie ist meine Lehrerin.;王刚，她是我的老师。;王刚，她是我的老师。;LD02-1-11;LD0
Hallo zusammen, ich heiße Johann Müller.;Nǐmen hǎo, wǒ jiào Yuēhàn Mǐlē.;;Nǐmen hǎo, wǒ jiào Yuēhàn Mǐlē.;Hallo zusammen, ich heiße Johann Müller.;你们好，我叫约翰米勒。;你们好，我叫约翰米勒。;LD02-1-12;LD0
Mein Familienname ist Dèng, ich heiße Dèng xiǎomíng.;Wǒ xìng Dèng, jiào Dèng xiǎomíng;;Wǒ xìng Dèng, jiào Dèng xiǎomíng;Mein Familienname ist Dèng, ich heiße Dèng xiǎomíng.;我姓邓，叫邓小明。;我姓邓，叫邓小明。;LD02-1-13;LD0
Ich freue mich, Sie kennenzulernen.;Rènshi nǐmen, wǒ hěn gāoxìng;;Rènshi nǐmen, wǒ hěn gāoxìng;Ich freue mich, Sie kennenzulernen.;认识你们，我很高兴。;认识你们，我很高兴。;LD02-1-14;LD0
Wir freuen uns auch, Sie kennenzulernen.;Wǒmen yě hěn gāoxìng rènshi nǐ.;;Wǒmen yě hěn gāoxìng rènshi nǐ.;Wir freuen uns auch, Sie kennenzulernen.;我们也很高兴认识你。;我们也很高兴认识你。;LD02-1-15;LD0
Herr Müller, hier ist meine Visitenkarte.;Mǐlē xiānsheng, zhè shì wǒ de míngpiàn.;;Mǐlē xiānsheng, zhè shì wǒ de míngpiàn.;Herr Müller, hier ist meine Visitenkarte.;米勒先生，这是我的名片。;米勒先生，这是我的名片。;LD02-1-16;LD0
Vielen Dank! Lehrerin Deng, das ist meine Visitenkarte.;Xièxiè! Dèng lǎoshī, zhè shì wǒ de míngpiàn.;;Xièxiè! Dèng lǎoshī, zhè shì wǒ de míngpiàn.;Vielen Dank! Lehrerin Deng, das ist meine Visitenkarte.;谢谢！邓老师，这是我的名片。;谢谢！邓老师，这是我的名片。;LD02-1-17;LD0
Mein Familienname ist Wang, mein Name ist Wang Gang.;Wǒ xìng Wáng, wǒ jiào Wáng Gāng.;;Wǒ xìng Wáng, wǒ jiào Wáng Gāng.;Mein Familienname ist Wang, mein Name ist Wang Gang.;我姓王，我叫王刚。;我姓王，我叫王刚。;LD02-1-18;LD0
Ich bin Schüler/-in oder Student/-in.;Wǒ shì xuéshēng.;;Wǒ shì xuéshēng.;Ich bin Schüler/-in oder Student/-in.;我是学生。;我是学生。;LD02-1-19;LD0
Er ist nicht Lehrer.;Tā bù shì lǎoshī.;;Tā bù shì lǎoshī.;Er ist nicht Lehrer.;他不是老师。;他不是老师。;LD02-1-20;LD0
Das ist mein/-e Freund/-in.;Zhè shì wǒ de nǚ péngyǒu.;;Zhè shì wǒ de nǚ péngyǒu.;Das ist mein/-e Freund/-in.;这是我的女朋友。;这是我的女朋友。;LD02-1-21;LD0
Dich kennen zu lernen, freut mich sehr.;Wèile rènshi nǐ, wǒ hěn gāoxìng;;Wèile rènshi nǐ, wǒ hěn gāoxìng;Dich kennen zu lernen, freut mich sehr.;为了认识你，我很高兴。;为了认识你，我很高兴。;LD02-1-22;LD0
Danke!;Xièxiè!;;Xièxiè!;Danke!;谢谢！;谢谢！;LD02-1-23;LD0
Danke!;Xièxiè!;;Xièxiè!;Danke!;谢谢！;谢谢！;LD02-1-24;LD0
* Lektion 3;*Lektion 3;* Lektion 3;*Lektion 3;*Lektion 3;*Lektion 3;*Lektion 3;L03-1-00;L03
Österreich;Àodìlì;Subst.;Wǒ xiǎng qù Àodìlì.;Ich möchte nach Österreich gehen.;奥地利;我想去奥地利。;L03-1-01;L03
Peking;Běijīng;Subst.;Wǒ zài Běijīng dāng lǎoshī.;Ich arbeite als Lehrer in Peking.;北京;我在北京当老师。;L03-1-02;L03
Belgien;Bǐlìshí;Eigenname;Wǒ xiǎng qù Bǐlìshí.;Ich möchte nach Belgien gehen.;比利时;我想去比利时。;L03-1-03;L03
Berlin;Bólín;Subst.;Wǒ zài Bólín xuéxí.;Ich studiere in Berlin.;柏林;我在柏林学习。;L03-1-04;L03
aus;cóng;Präposition;Tā cóng Běijīng lái.;Er kommt aus Peking.;从;他从北京来。;L03-1-05;L03
Universität;dàxué;Subst.;Tā zài dàxué xuéxí.;Er studiert an der Universität.;大学;他在大学学习。;L03-1-06;L03
Volkswagen;Dàzhòng Gōngsī;Subst.;Wǒ zài Dàzhòng Gōngsī gōngzuò.;Ich arbeite bei Volkswagen.;大众公司;我工作在大众公司。;L03-1-07;L03
Firma VW;Dàzhòng Gōngsī;Subst.;Wǒ zài Dàzhòng Gōngsī gōngzuò.;Ich arbeite bei Volkswagen.;大众公司;我工作在大众公司。;L03-1-08;L03
Deutschland;Déguó;Subst.;Wǒ lái zì Déguó.;Ich komme aus Deutschland.;德国;我来自德国。;L03-1-09;L03
Deutsche(r);Déguórén;Subst.;Wǒ péngyou shì Déguórén.;Mein Freund ist Deutscher.;德国人;我朋友是德国人。;L03-1-10;L03
Frankreich;Fǎguó;Subst.;Wǒ xiǎng qù Fǎguó lǚxíng.;Ich möchte nach Frankreich reisen.;法国;我想去法国旅行。;L03-1-11;L03
Firma;gōngsī;Subst.;Wǒ de gōngsī zài Běijīng.;Meine Firma ist in Peking.;公司;我的公司在北京。;L03-1-12;L03
arbeiten, Arbeit;gōngzuò;Subst.;Wǒ zài gōngsī gōngzuò.;Ich arbeite in einer Firma.;工作;我在公司工作。;L03-1-13;L03
Land;guó;Subst.;Zhōngguó shì yí ge dà guó.;China ist ein großes Land.;国;中国是一个大国。;L03-1-14;L03
Chinesisch;Hànyǔ;Subst.;Wǒ zài xuéxí Hànyǔ.;Ich lerne Chinesisch.;汉语;我在学习汉语。;L03-1-15;L03
und;hé;Konjunktion;Wǒ hé tā shì péngyou.;Ich und er sind Freunde.;和;我和他是朋友。;L03-1-16;L03
können;huì;Modalverb;Wǒ huì shuō Zhōngwén.;Ich kann Chinesisch sprechen.;会;我会说中文。;L03-1-17;L03
kommen;lái;Verb;Wǒ lái zì Měiguó.;Ich komme aus den USA.;来;我来自美国。;L03-1-18;L03
London;Lúndūn;Subst.;Wǒ xiǎng qù Lúndūn.;Ich möchte nach London gehen.;伦敦;我想去伦敦。;L03-1-19;L03
Luxemburg;Lúsēnbǎo;Eigenname;Wǒ xiǎng qù Lúsēnbǎo lǚxíng.;Ich möchte nach Luxemburg reisen.;卢森堡;我想去卢森堡旅行。;L03-1-20;L03
USA;Měiguó;Subst.;Tā cóng Měiguó lái.;Er kommt aus den USA.;美国;他从美国来。;L03-1-21;L03
das dort, jene(r,s);nà;Pronomen;Nà shì shénme?;Was ist das?;那;那是什么？;L03-1-22;L03
welche(r,s)?;nǎ;Pronomen;Nǐ shì nǎ guó rén?;Aus welchem Land kommst du?;哪;你是哪国人？;L03-1-23;L03
Nicht der Rede wert!;nǎlǐ;Pronomen;nǎlǐ, nǎlǐ.;Nicht der Rede wert!;哪里;哪里, 哪里。;L03-1-24;L03
dort;nàr;Adverb;Tā zài nàr.;Sie ist dort.;那儿;她在那儿。;L03-1-25;L03
wo / wohin;nǎr ( nǎlǐ );Adverb;Nǐ xiǎng qù nǎr?;Wohin möchtest du gehen?;哪儿;你想去哪儿？;L03-1-26;L03
Mensch;rén;Subst.;Tā shì yí ge hǎo rén.;Er ist eine nette Person.;人;他是一个好人。;L03-1-27;L03
Japan;Rìběn;Subst.;Wǒ xiǎng xuéxí Rìběn huà (=Rìyǔ).;Ich möchte Japanisch lernen.;日本;我想学习日本话。;L03-1-28;L03
Japanisch;Rìyǔ;Subst.;Tā xuéxí Rìyǔ.;Er lernt Japanisch.;日语;他学习日语。;L03-1-29;L03
Schweiz;Ruìshì;Subst.;Ruìshì de jǐngsè hěn měi.;Die Landschaft in der Schweiz ist sehr schön.;瑞士;瑞士的景色很美。;L03-1-30;L03
Shanghai;Shànghǎi;Subst.;Wǒ xiǎng qù Shànghǎi lǚxíng.;Ich möchte nach Shanghai reisen.;上海;我想去上海旅行。;L03-1-31;L03
wer?;shéi;Pronomen;Nǐ shì shéi?;Wer bist du?;谁;你是谁？;L03-1-32;L03
sprechen;shuō;Verb;Tā bù huì shuō Zhōngwén.;Er kann kein Chinesisch sprechen.;说;他不会说中文。;L03-1-33;L03
Mitschüler(in), Kommilitone / Kommilitonin;tóngxué;Subst.;Tā shì wǒ de tóngxué.;Er  ist mein Klassenkamerad.;同学;他是我的同学。;L03-1-34;L03
Spanien;Xībānyá;Subst.;Wǒ xiǎng qù Xībānyá.;Ich möchte nach Spanien gehen.;西班牙;我想去西班牙。;L03-1-35;L03
lernen, studieren, Studium;xuéxí/xué;Verb;Wǒ xiǎng xuéxí Zhōngwén.;Ich möchte Chinesisch lernen.;学习/学;我想学习中文。;L03-1-36;L03
Italien;Yìdàlì;Subst.;Yìdàlì de fàn hěn hào chī.;Italienisches Essen ist sehr lecker.;意大利;意大利的食物很好吃。;L03-1-37;L03
ein bisschen;yīdiǎnr;Adjektiv;Wǒ yǒu yīdiǎnr qián.;Ich habe ein bisschen Geld.;一点儿;我有一点儿钱。;L03-1-38;L03
England;Yīngguó;Subst.;Tā zhù zài Yīngguó.;Sie lebt in England.;英国;她住在英国。;L03-1-39;L03
"sich befinden; in, bei, an, auf";zài;Präposition;Wǒ zài xuéxiào.;Ich bin in der Schule.;在;我在学校。;L03-1-40;L03
hier;zhèr;Adverb;Zhèr hěn piàoliang.;Hier ist es sehr schön.;这儿;这儿很漂亮。;L03-1-41;L03
China;Zhōngguó;Subst.;Wǒ zài Zhōngguó.;Ich bin in China.;中国;我在中国。;L03-1-42;L03
* Lektion 3 Dialoge;*Lektion 3 Dialoge;* Lektion 3 Dialoge;*Lektion 3 Dialoge;*Lektion 3 Dialoge;*Lektion 3 Dialoge;*Lektion 3 Dialoge;LD03-1-00;LD0
Deutschland befindet sich dort.;Déguó zài nàr.;;Déguó zài nàr.;Deutschland befindet sich dort.;德国在那儿。;德国在那儿。;LD03-1-01;LD0
China befindet sich hier.;Zhōngguó zài zhèr.;;Zhōngguó zài zhèr.;China befindet sich hier.;中国在这儿。;中国在这儿。;LD03-1-02;LD0
Wo befinden sich die USA und Japan?;Měiguó hé Rìběn zài nǎr?;;Měiguó hé Rìběn zài nǎr?;Wo befinden sich die USA und Japan?;美国和日本在哪儿？;美国和日本在哪儿？;LD03-1-03;LD0
Das hier sind England und Frankreich.;Zhè shì Yīngguó hé Fǎguó.;;Zhè shì Yīngguó hé Fǎguó.;Das hier sind England und Frankreich.;这是英国和法国。;这是英国和法国。;LD03-1-04;LD0
Das da sind Österreich und die Schweiz.;Nà shì Àodìlì hé Ruìshì.;;Nà shì Àodìlì hé Ruìshì.;Das da sind Österreich und die Schweiz.;那是奥地利和瑞士。;那是奥地利和瑞士。;LD03-1-05;LD0
Wer ist das?;Nà shì shéi?;;Nà shì shéi?;Wer ist das?;那是谁？;那是谁？;LD03-1-06;LD0
Das ist mein Mitschüler.;Nà shì wǒ de tóngxué.;;Nà shì wǒ de tóngxué.;Das ist mein Mitschüler.;那是我的同学。;那是我的同学。;LD03-1-07;LD0
Aus welchem Land kommt er?;Tā shì nǎ guó rén?;;Tā shì nǎ guó rén?;Aus welchem Land kommt er?;他是哪国人？;他是哪国人？;LD03-1-08;LD0
